,zip_code_tabulation_area,percent_owner,qrt_percent_owner,percent_rentburdened,qrt_percent_rentburdened,HH_value,qrt_HH_value,percent_snap,qrt_percent_snap,percent_poverty,qrt_percent_poverty,percent_employed,qrt_percent_employed,percent_lths,qrt_percent_lths,percent_noenglish,qrt_percent_noenglish,percent_black,qrt_percent_black,percent_latino,qrt_percent_latino,percent_aapi,qrt_percent_aapi,percent_other,qrt_percent_other,percent_noinsurance,qrt_percent_noinsurance,GINI_index,qrt_GINI_index
81,11691,0.213944169,Q2,0.510053703,Q3,521000,Q2,0.352742372,Q4,0.194212189,Q3,0.538997186,Q1,0.231902862,Q4,0.08709153,Q3,0.493690092,Q4,0.269261631,Q3,0.037713552,Q1,0.103920167,Q3,0.087031205,Q4,0.5097,Q3
82,11693,0.440058748,Q3,0.430578512,Q2,358200,Q1,0.222752751,Q3,0.143382929,Q3,0.605144757,Q3,0.182471264,Q3,0.096397682,Q3,0.246137206,Q3,0.294499382,Q3,0.048902967,Q1,0.108235476,Q3,0.062125807,Q2,0.4747,Q3
83,11368,0.192549211,Q2,0.585428131,Q4,606200,Q3,0.296476094,Q4,0.196882557,Q3,0.647162221,Q3,0.361690351,Q4,0.359831733,Q4,0.105122761,Q2,0.764943616,Q4,0.127649704,Q3,0.398267433,Q4,0.234429972,Q4,0.4134,Q1
84,11385,0.288740245,Q2,0.449269414,Q2,624100,Q3,0.080532943,Q2,0.106795214,Q2,0.655778426,Q4,0.162905606,Q3,0.129114502,Q3,0.035502245,Q1,0.450480537,Q4,0.074956399,Q2,0.079158781,Q2,0.114555769,Q4,0.4014,Q1
85,11412,0.710071639,Q4,0.523220974,Q3,451200,Q1,0.143037404,Q3,0.08183532,Q1,0.619594789,Q3,0.122302429,Q2,0.021942084,Q1,0.89650527,Q4,0.059275695,Q1,0.029109544,Q1,0.04627942,Q2,0.066075447,Q3,0.4131,Q1
86,11414,0.686550119,Q4,0.494531784,Q3,513500,Q2,0.092821897,Q2,0.096805214,Q2,0.549597855,Q1,0.136607434,Q2,0.029836916,Q1,0.051531099,Q2,0.21770918,Q3,0.060466923,Q2,0.108642673,Q3,0.034195901,Q1,0.4731,Q2
88,11694,0.489628763,Q4,0.452747817,Q2,665000,Q3,0.088384136,Q2,0.111931424,Q2,0.555935488,Q2,0.108008496,Q2,0.029565999,Q1,0.067776625,Q2,0.151730969,Q2,0.034336383,Q1,0.063107254,Q2,0.046634426,Q2,0.4786,Q3
89,11697,0.519166357,Q4,0.147540984,Q1,588700,Q3,0.009615385,Q1,0.026673925,Q1,0.524166099,Q1,0.019330855,Q1,0.003255401,Q1,0.006260207,Q1,0.067773544,Q1,0.00653239,Q1,0.037289058,Q1,0.000272183,Q1,0.4475,Q2
90,10469,0.487547202,Q4,0.557087343,Q4,454900,Q1,0.19691466,Q3,0.155956079,Q3,0.551457486,Q1,0.200351182,Q3,0.063453263,Q2,0.59077973,Q4,0.289704907,Q3,0.068108974,Q2,0.177912246,Q3,0.05900453,Q2,0.4486,Q2
91,10002,0.125998719,Q1,0.517713338,Q3,689700,Q3,0.344122658,Q4,0.273617621,Q4,0.505145137,Q1,0.337057257,Q4,0.290232481,Q4,0.110004162,Q3,0.262543804,Q3,0.432994535,Q4,0.125149371,Q3,0.055297986,Q2,0.5814,Q4
92,10029,0.063326374,Q1,0.494058595,Q3,647600,Q3,0.318239593,Q4,0.328599803,Q4,0.487730013,Q1,0.25844662,Q4,0.118722527,Q3,0.341949865,Q3,0.465944494,Q4,0.100191623,Q2,0.204424283,Q4,0.064905969,Q2,0.6284,Q4
93,10031,0.122756882,Q1,0.52478351,Q3,498800,Q2,0.263888889,Q4,0.219729357,Q4,0.671900826,Q4,0.243801653,Q4,0.164088447,Q4,0.417447051,Q4,0.512033028,Q4,0.054828315,Q2,0.212617058,Q4,0.111747226,Q4,0.5092,Q3
94,10034,0.090947092,Q1,0.446456639,Q2,359000,Q1,0.316786333,Q4,0.182109005,Q3,0.630186325,Q3,0.256194316,Q4,0.22069224,Q4,0.161442487,Q3,0.691973867,Q4,0.041062289,Q1,0.405080308,Q4,0.081553673,Q3,0.4824,Q3
